Fitness,Precision,Generalization,Simplicity,
,,,,
1,0.235249042,0.513513514,0.568254632,basic
1,0.606173677,0.762711864,0.819170438,
1,0.223541511,0.571428571,0.846077315,
1,0.361513158,0.62962963,0.762651534,
1,0.260790792,0.575757576,0.825383462,
1,0.614890198,0.797101449,0.835160306,
,,,,
0.687280281,0.536451169,0.724137931,0.675385423,dfg
0.780922432,0.720399429,0.806451613,0.901087482,
0.998851894,Error,0.684210526,0.888147993,
1,0.417711897,0.662337662,0.780508317,
1,0.260818589,0.573770492,0.859163683,
0.808275058,0.723387723,0.757575758,0.892352049,
,,,,
0.92147806,0.353159851,0.684210526,0.65116317,0.3
0.685534591,0.606173677,0.704918033,0.80934279,
0.997990815,0.204743376,0.571428571,0.847393767,
1,0.361513158,0.64,0.748957654,
0.95409292,0.366995486,0.593984962,0.7122128,
1,0.502187227,0.752808989,0.793342623,
,,,,
0.92147806,0.353159851,0.684210526,0.65116317,0.6
0.685534591,0.606173677,0.704918033,0.80934279,
0.943920996,Error,0.62962963,0.846795872,
1,0.361513158,0.64,0.748957654,
0.878318584,0.479325479,0.64028777,0.756627727,
1,0.502187227,0.76744186,0.818153282,
,,,,
0.750467797,0.948275862,1,0.81787554,0.9
0.685534591,0.606173677,0.724137931,0.854258083,
0.943920996,Error,0.62962963,0.846795872,
0.683476395,0.884955752,0.707317073,0.697317096,
0.790376106,0.701846966,0.675213675,0.764775999,
1,0.502187227,0.76744186,0.818153282,
